
Topic: 0
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"common [0.00882572229704332]","mentality [0.00921620975606238]","dole [0.00993139010591521]","test [0.00595202498007134]","public [0.005571096418939]","control [0.00620497005728362]","christian [0.00719618302844518]","law [0.00690727419461184]","schools [0.00741991655786163]","culture [0.00557380128055986]","tham [0.00692868121044266]","public [0.00668783408977853]",
"standards [0.00864996431490297]","statistics [0.00916981299385653]","america [0.00984756499206844]","authority [0.00587161506369812]","religion [0.00545690549191526]","anti [0.00603789648485103]","policy [0.00704417589351492]","military [0.00689722348327619]","carolina [0.00732649928461298]","anti [0.00549693173185967]","family [0.006899400777398]","principles [0.00661523247703555]",
"schools [0.00861787946206309]","decision [0.00915874552543247]","democrats [0.00975944529155927]","schools [0.00579952543098966]","law [0.00532846220708117]","christian [0.00602257799300947]","support [0.00693976304304813]","free [0.00687433925931396]","church [0.00720437466361725]","gingrich [0.00548454954853589]","constitution [0.00676725967826762]","republicans [0.00655425219497267]",
"enrollments [0.00779153365022071]","court [0.00903263377447883]","presidency [0.00973168095935126]","senator [0.00567244416256563]","supreme [0.00529537496002334]","liberal [0.00598237331174077]","poll [0.00687674369570542]","family [0.00685793896759525]","reform [0.007131684944499]","voters [0.00545637437434524]","agenda [0.00676416859154001]","debate [0.00650228026982927]",
"affirmative [0.00772317229455729]","education [0.00899724839396144]","student [0.00949641120505924]","opinion [0.005473240885369]","television [0.00528904016924145]","violence [0.00594527718549475]","moral [0.00655044546578671]","constitutional [0.00678870023619346]","governor [0.00703568986113921]","pro [0.00527453842231289]","views [0.00651844854474553]","court [0.00648036701969942]",
"debate [0.00764301549651188]","believe [0.00891083462355999]","liberal [0.00935587335523309]","constitution [0.00543755154839521]","robertson [0.00525763621936408]","students [0.00592932944911785]","gop [0.00642528192201171]","fundamental [0.00675116417449392]","dr [0.00692071376826868]","violence [0.00526563043281189]","supports [0.00648206539055409]","moral [0.00645981703106709]",
"views [0.0076113681109926]","alternative [0.00869535154401398]","assault [0.00927005508824341]","church [0.00542818578495727]","america [0.00525222966127568]","coalition [0.00589259513724644]","ads [0.00625489200170128]","court [0.00674844747814279]","newt [0.00685344252153479]","race [0.00517502689692196]","coalition [0.0064634550579338]","power [0.00634733887008478]",
"method [0.00752648689971462]","resolved [0.00863954105559757]","republican [0.00905797750004308]","surely [0.00541108021651437]","church [0.00521497159059301]","rust [0.00572851639640083]","culture [0.00607448954612339]","argument [0.00655751425952214]","views [0.00628096901650329]","argument [0.00515069792363503]","primary [0.00641188743820041]","bureaucrats [0.00623822665328739]",
"moral [0.00739096241561634]","governor [0.00854015223322213]","family [0.00898886056384924]","question [0.00538348942047091]","vote [0.00516964090622019]","federally [0.00571483917693952]","racial [0.0060657052866826]","white [0.00652583864422898]","americans [0.00627658080366879]","presidential [0.00511531718765215]","pleasure [0.00635953616022737]","polls [0.00623822665328739]",
"dr [0.00733964253902687]","politicians [0.00846060554493066]","reagan [0.00886389561290433]","welfare [0.00534219191119907]","internet [0.00516123045705248]","law [0.00564295244078634]","violence [0.00605505347128132]","standards [0.00640293776056826]","establishment [0.00624815070172071]","action [0.00508394797527001]","anti [0.00634051685010874]","abortion [0.00607635932797073]",
"supreme [0.00733308690381455]","republican [0.00840583812349735]","politicians [0.00876121881676297]","freedom [0.00531052618038336]","society [0.00511972718300403]","journal [0.00559750662931629]","welfare [0.00604763567182682]","homosexuality [0.00639134749851821]","counterculture [0.00618971850307887]","gay [0.00506597050503022]","christian [0.00633000054719102]","cuban [0.00602428180011923]",
"democracy [0.00733308690381455]","minority [0.00837809785978429]","nelson [0.00865159207828818]","argument [0.0052581813616421]","freedom [0.00510159708714093]","rutherford [0.0055666179313621]","free [0.00599878546669953]","race [0.00638695628794903]","health [0.00605028504216613]","constitutional [0.0050564421353767]","values [0.00628335855288963]","talk [0.005894175522213]",
"judgments [0.00733308690381455]","democratic [0.00837600516708049]","destroy [0.0085583645606901]","power [0.00525766967828995]","state [0.00507097256641777]","walla [0.00555705557591427]","social [0.00588434341214506]","sununu [0.00630181938559689]","vote [0.00592050034802176]","reagan [0.00502620275606524]","social [0.00620484656149376]","democrats [0.00586033394055931]",
"bush [0.00722461321494547]","voters [0.00828547496702461]","newspaper [0.00833156281225206]","north [0.00524692905748337]","charlotte [0.00500706680382685]","jackson [0.00552134010059276]","south [0.00583570709801706]","amendment [0.00613525089263797]","opposition [0.0056770974153268]","article [0.00497829506383116]","flag [0.00615092148316017]","prayer [0.00575228192190478]",
"view [0.00721692558511861]","illinois [0.00815566587954448]","read [0.00820998587702016]","dr [0.00522576956852464]","incumbent [0.00496084967210017]","gay [0.00549329664002036]","attack [0.00583176209330451]","academic [0.00610983754363559]","opponent [0.0053725579265738]","sexual [0.00486535517044802]","wasserstein [0.00613059674941896]","opinion [0.00574854545025926]",
"religious [0.00695652907027099]","racial [0.00810926911733862]","parents [0.00820962937269618]","sexual [0.00517113764831685]","women [0.00494700504966212]","opinion [0.0054075570227031]","education [0.00554717965364289]","senator [0.00601856642922383]","foreign [0.00535862597362121]","women [0.00484318278932538]","citizens [0.00612361262629765]","constitutional [0.00568432624775441]",
"jersey [0.00687364348191738]","country [0.00809861500691148]","paragraphs [0.00816527181661879]","academic [0.00516969561569367]","opposition [0.00490676984646359]","constitutional [0.00540100007872402]","senator [0.00542520076475257]","incidents [0.00598591997307703]","wellman [0.00526905961262951]","schools [0.00477980691600719]","culture [0.00611034451694869]","ideology [0.00538145784854744]",
"race [0.00681818979728845]","strikes [0.00805072864289536]","certain [0.00790409192407187]","philosophy [0.00513155452184102]","senate [0.00489240460939324]","doctor [0.00535500688621279]","supporters [0.00541087910670803]","supreme [0.00592000803836206]","wing [0.00526613734733454]","nation [0.00476600837861119]","argument [0.00608598332022936]","conservatism [0.00529772959594039]",
"regime [0.00680627880174497]","minorities [0.00799723867499477]","minority [0.00785269875820668]","intellectual [0.00509626866632892]","president [0.00486498005166474]","agenda [0.00531001132250543]","homosexuality [0.00539709713975025]","blasphemy [0.00585030639514945]","country [0.00523709188917792]","politicians [0.00465176975585821]","president [0.00595701267032719]","hodel [0.00529772959594039]",
"gay [0.00673767187523508]","message [0.00761642361366125]","censorship [0.00770462866886723]","believe [0.00508186078598293]","don [0.00479737706776658]","freedom [0.00530914719288672]","discrimination [0.00526516654738095]","judicial [0.00583965232897026]","gingrich [0.00512126691631421]","democracy [0.00463566888773579]","pornography [0.00593601463823597]","system [0.0052330865836438]",
"sexual [0.00669780511287589]","christian [0.00754603831670409]","asserts [0.00770462866886723]","marketplace [0.00503519648116113]","white [0.00457875992935105]","self [0.00527651968932838]","schools [0.00521466429141815]","church [0.00565326166597166]","democrat [0.00507255380347045]","cobb [0.0045351951038881]","frum [0.00589059032391777]","nation [0.00514488276640846]",
"justice [0.00669718024508698]","contrary [0.00744138512466813]","constitutional [0.00770462866886723]","communist [0.00493460323941314]","opponent [0.00456947979440754]","prayer [0.00527453925776248]","pornography [0.00515372332622112]","women [0.0056329234443295]","forces [0.00506865358814967]","policy [0.00450584368226872]","choice [0.00585484259792575]","carolina [0.00509002982228387]",
"message [0.00664955519860871]","abuse [0.00739498836246228]","arrest [0.00763593979648627]","meaningful [0.00490913040302412]","believe [0.00455378705562229]","carolina [0.00521740685893432]","men [0.00511914215986826]","message [0.00562222889666229]","school [0.00503915131019369]","leaders [0.00447051106654849]","senator [0.00585105048600599]","intellectual [0.00504208984270388]",
"action [0.0065309070435018]","worker [0.00738789515676755]","editorial [0.00763593979648627]","men [0.00486295337841681]","blacks [0.00450585315117012]","society [0.00510185932009752]","don [0.0050407697701933]","atlanta [0.00559358159909989]","gay [0.00501184067119939]","believe [0.00445023997703664]","don [0.00576514011117545]","church [0.00502525638984078]",
"election [0.00651007742300095]","speech [0.00735639364094846]","leaders [0.00733755430732494]","white [0.00483469262753559]","education [0.00442227992085055]","moral [0.00499519764163896]","challenge [0.0049424533200361]","intellectual [0.00552549810844022]","education [0.00500814091220016]","candidate [0.00438190208290326]","perot [0.00568148644839903]","botstein [0.0048708889482491]",
"christian [0.0064805298992846]","laws [0.00734111919642224]","nation [0.00710863260990954]","practice [0.00474593055519227]","morality [0.00434799764383198]","republican [0.0048771930826489]","policies [0.00491826555922528]","defend [0.00551204439862529]","jesse [0.00493308081778267]","reform [0.00415930623343777]","platforms [0.00568148644839903]","dole [0.00484739491514923]",
"leadership [0.0064461197927788]","influential [0.00722861422438702]","believe [0.00707861918022921]","refuses [0.00471386124232089]","free [0.00426231954832183]","american [0.0047436457322119]","economic [0.00489541508334337]","student [0.00540468321839617]","public [0.00491337403748541]","constitution [0.00410247426210378]","sexual [0.00567228660195219]","movement [0.004758492370441]",
"nicaragua [0.00623935836646973]","fear [0.00710345713876056]","cancer [0.00706597385994605]","affirmative [0.00470589196541177]","coalition [0.00425189000122919]","homosexual [0.00469236158540335]","movement [0.00488927764900484]","pro [0.00539864477698701]","god [0.00484071901637958]","god [0.00409545084928179]","pro [0.00567002824246532]","argument [0.00474798594109306]",
"theory [0.00618874718359307]","minister [0.00689029803627101]","message [0.00694333054664416]","blacks [0.00467672634307135]","campaigns [0.00422281978826266]","believe [0.00464543488825763]","media [0.00479181702317258]","university [0.00532347930491137]","gatt [0.00459814184867049]","standards [0.00403942501927481]","assault [0.00558875538242254]","freedom [0.00472522568119059]",
"groups [0.00615671165303371]","opposition [0.00687251846489536]","voters [0.00684743686698766]","public [0.00461089704928487]","radio [0.00415927305805238]","question [0.00450510129044513]","question [0.00478679790088266]","class [0.00525129224546345]","don [0.00459312351417872]","congress [0.00403407504009915]","parents [0.00552620151421661]","newt [0.00465811255440596]",
"law [0.00606647339670462]","ought [0.00686471642420333]","court [0.0067340735789306]","desirable [0.00454653617462385]","god [0.00413680102249884]","writes [0.00449587014118585]","message [0.00473141630127114]","politicians [0.00522512039318194]","radio [0.00457541409882794]","elite [0.00401142056100665]","laws [0.00542053065461053]","anti [0.00456941910744881]",
"child [0.0060215735751656]","primary [0.00684380612053887]","problems [0.00665344915640033]","groups [0.0045413048177785]","politicians [0.00408733720479411]","homo [0.0044656308246847]","homosexuals [0.00469683274790916]","subjects [0.00519214232937727]","gun [0.00457379729783829]","kazan [0.00398815767378539]","vice [0.00533049795108461]","book [0.00456576020926768]",
"radical [0.00597829949138073]","sex [0.00683204160644091]","racial [0.00660566011869703]","views [0.00452231990759677]","percent [0.00406891239140942]","teachers [0.00442896094290721]","agenda [0.00466625960836381]","teachers [0.00513068140219578]","moderate [0.00457300746239084]","groups [0.00397998417201865]","states [0.00530143016822008]","establishment [0.00453967022993946]",
"counselors [0.00595735287021043]","official [0.00677918132036733]","supreme [0.00656535560879187]","social [0.00451639973073869]","sarpalius [0.00403936178461823]","legal [0.00434716484487483]","locke [0.00466355398833424]","policy [0.0050928662265471]","care [0.004555603108738]","editor [0.00395350061870952]","language [0.00519426719060233]","views [0.00448506147787275]",
"ideological [0.00595735287021043]","victims [0.00673215487633447]","elected [0.00644548367073313]","policy [0.00450788420130216]","men [0.00389268356799384]","souter [0.00432158128630442]","democracy [0.00465298671255173]","censors [0.00504897402433612]","incumbent [0.00455506733477842]","christians [0.00395131004479136]","nominee [0.00518913500177047]","norms [0.0044479376148998]",
"rallies [0.00595735287021043]","aimed [0.00667315890995978]","flag [0.00637034483094886]","heels [0.00444137186121622]","message [0.00388891069327246]","wing [0.00428725811132069]","establishment [0.00462125343488409]","baptist [0.00504897402433612]","terry [0.00454657941166197]","media [0.00393713032307614]","support [0.00517427790270516]","pugh [0.0044479376148998]",
"homosexuals [0.00595735287021043]","focused [0.00657372767178476]","christian [0.00633642401261766]","class [0.00432237902171786]","american [0.00383882215490073]","senator [0.00425632104328315]","nation [0.00452563041974545]","self [0.00504766665109567]","policies [0.00447589341584554]","world [0.00390176904172779]","civil [0.00514887305712359]","radical [0.00440734684577808]",
"delegate [0.00595735287021043]","majority [0.00647333137757006]","expression [0.00620198571361569]","republican [0.00432173471455003]","constitution [0.00379510485621794]","care [0.0042544051642223]","sex [0.00451858166624798]","strossen [0.00496476940077931]","himmelfarb [0.00446054118758571]","responsibility [0.00387032977062341]","law [0.00511990930180357]","policy [0.00439856037176304]",
"equality [0.00595735287021043]","attack [0.0064393817225935]","washington [0.00596866485944001]","critical [0.00430906590961544]","family [0.0037298525103983]","transition [0.00420699466849401]","court [0.00451484773647202]","principle [0.00496476940077931]","nation [0.00443609758221328]","free [0.00382670402882343]","democracy [0.00506734598461456]","bush [0.00439013531651544]",
"contempt [0.00595735287021043]","leaders [0.00642918546025754]","question [0.00591626196851764]","matter [0.00428157816436149]","homosexuality [0.00368219394501821]","objected [0.00416225835570419]","politicians [0.00449795268948034]","benetton [0.00496476940077931]","radical [0.0044187718983911]","abuse [0.00380317934327089]","lesbians [0.00506734598461456]","message [0.00438331419779866]",
"renfro [0.00595735287021043]","president [0.00641822751888109]","opponent [0.0058926414267127]","parties [0.00419892941137388]","poll [0.00367695266068142]","science [0.00414708750836008]","problems [0.0043717200983418]","opinion [0.00495663629378796]","minister [0.00438433633405686]","morality [0.00369181616494939]","free [0.00506206233172509]","communist [0.00436202462423925]",
"public [0.00595039517968526]","law [0.00627220178615315]","klan [0.0058926414267127]","prejudice [0.00419828550978206]","world [0.00366060587806946]","values [0.00410680840833835]","intellectual [0.0043071398013874]","book [0.00493355808700906]","primary [0.00432291049042508]","crime [0.00367525544435489]","attack [0.00504891877250374]","jesse [0.00414539011600854]",

Topic: 6
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"paintings [0.0519584213566172]","exhibition [0.0459917973411018]","paintings [0.0675827992603008]","art [0.0475054311399275]","art [0.066728994727661]","art [0.076843239505907]","art [0.0631961494278881]","art [0.0766517039963749]","art [0.036944838123853]","art [0.0800854139509721]","art [0.0419804774488933]","art [0.0988712742877461]",
"art [0.0507483427604978]","art [0.0379366094828761]","painting [0.0565548423604824]","museum [0.0398371078075369]","paintings [0.0490980684946365]","museum [0.0433296486210521]","paintings [0.0379255007991683]","paintings [0.0358624299474401]","museum [0.0322989892860746]","berlin [0.0469181341379072]","museum [0.028767820305169]","museum [0.0356938626528327]",
"painting [0.0444689083077586]","show [0.0369331280222853]","art [0.0478966204531109]","exhibition [0.0317242737066097]","painting [0.0418667562007875]","exhibition [0.041869297322026]","painting [0.0361144072298967]","century [0.0284347474829401]","paintings [0.0306401906486561]","painting [0.0347209424438832]","exhibition [0.0263208234412408]","paintings [0.0316898872510563]",
"exhibition [0.0409345540071237]","painting [0.0339958468956926]","exhibition [0.0449396296003516]","paintings [0.0300997973533874]","exhibition [0.0367432973864946]","paintings [0.0412714623444327]","exhibition [0.0280121335424581]","museum [0.0235042514323176]","show [0.0260032805165012]","paintings [0.0310227689860525]","pictures [0.0255982363626131]","picasso [0.0309815401640441]",
"show [0.0371295594535882]","paintings [0.0331859162556873]","century [0.0347603031830552]","century [0.0292160494037952]","museum [0.0336434495484464]","painting [0.0368010493829294]","museum [0.0247444116440804]","portraits [0.0229531927796203]","jimenez [0.025981842430093]","vermeer [0.0265455732519474]","painting [0.025118241018261]","show [0.0294624155973244]",
"museum [0.0351880958830662]","century [0.0292232202721547]","museum [0.0323965384894165]","show [0.026205873112382]","show [0.0317645914857172]","show [0.0332413954597923]","century [0.0239571621340297]","ligon [0.0215287478111622]","painting [0.0230441039921624]","pictures [0.0251191438014194]","michelangelo [0.0243181154761391]","painting [0.026180329479789]",
"century [0.0237758480973047]","museum [0.0201115818592581]","braque [0.027213977235984]","painting [0.0251891239237624]","century [0.0259195553177982]","objects [0.0292902916243158]","cadmus [0.018448423498874]","show [0.0212236284869956]","twombly [0.0222908405963185]","century [0.0247452907554474]","show [0.019147321044951]","century [0.0253204891506059]",
"painted [0.0170216284429748]","japanese [0.0193110291755732]","objects [0.0267895708886205]","mapplethorpe [0.0201589371815284]","images [0.0207874862430834]","century [0.0191981415205097]","christie [0.0179015103789425]","whitney [0.0207643017679929]","century [0.0221783827950122]","mapplethorpe [0.0220259337878371]","paris [0.018729217879621]","exhibition [0.0249441531617973]",
"images [0.0166920214903055]","miro [0.0192355132911264]","show [0.0248773764961179]","pictures [0.0173772952742466]","pictures [0.0205082282141826]","images [0.0186902781568672]","show [0.0164395681269053]","french [0.0203051868925971]","french [0.0181584275441977]","show [0.0165974233873515]","paintings [0.0186521245121055]","objects [0.0214334104718745]",
"abstract [0.0150083632674167]","pictures [0.0189307158761074]","boccioni [0.0177783800269685]","photographs [0.0153049126351129]","mcelroy [0.0199780410724147]","works [0.0186738827615258]","cologne [0.0156652690044051]","war [0.0201959693926026]","herter [0.0172214189495847]","images [0.0164602003120924]","cezanne [0.0186462264915577]","portrait [0.0162269950023456]",
"catalogue [0.013499826494011]","catalogue [0.0188939871700467]","painted [0.015552243261899]","black [0.0137104716487602]","gallery [0.0176872011604344]","pictures [0.0149129006070966]","images [0.0155788480128745]","painting [0.0189154786006015]","pictures [0.0165845405054652]","portrait [0.0158848541104499]","painted [0.0178522393304337]","porter [0.0153272248800497]",
"photographs [0.013163070834258]","de [0.0187155644437649]","portrait [0.0149790506516091]","photography [0.0133599738651135]","vuillard [0.016411698821132]","portrait [0.0147472216186731]","german [0.0152094525156545]","painted [0.0185010439416867]","catalogue [0.0133971017363514]","exhibition [0.0154500510375716]","picasso [0.0172028105031182]","dove [0.0143709871056227]",
"van [0.0130957628877429]","abstract [0.0179936583894839]","works [0.0147613163763812]","images [0.0122540967518267]","black [0.0159843256200182]","painted [0.0144863984069806]","modern [0.0144731096263595]","vaquero [0.0181258716192643]","portraits [0.0127571828993094]","museum [0.0154047352494347]","painter [0.0161918681022078]","emperor [0.0143089876954912]",
"artist [0.0127879030723769]","camels [0.0148642617284163]","dutch [0.0125109742048558]","objects [0.0112690629125057]","painted [0.0150223885010052]","chang [0.0141229537772396]","artist [0.0142445501953672]","de [0.0168509747157213]","academy [0.0126958999500611]","morrisroe [0.0151009294391327]","page [0.0148014212651645]","pictures [0.0142140209863835]",
"work [0.0126115889013291]","portraits [0.0140045066485905]","pictures [0.012140037493692]","gallery [0.0107402883497426]","objects [0.0142545548367252]","exhibit [0.0134334003404562]","pictures [0.0138026726642258]","egyptian [0.0159467310958351]","france [0.0126060356475931]","photographs [0.0150698558912762]","hospice [0.0147141963979616]","works [0.0141922166696627]",
"works [0.0125181176419663]","painted [0.0131701119617092]","picasso [0.0112531345630034]","catalogue [0.00995163580839768]","works [0.0130863819851989]","polke [0.0116825355330864]","works [0.0135343211351139]","objects [0.0144889376487463]","painted [0.0121203774717525]","painter [0.0146320498859034]","photographs [0.0141589538528723]","artist [0.0126126731450611]",
"gogh [0.0119645659847353]","works [0.0124911284809863]","gallery [0.010998100057347]","berlin [0.00959519354151504]","modern [0.0123715983379853]","curator [0.0115511390340966]","painted [0.0131994796733893]","works [0.0140171522335105]","images [0.0114986558795173]","gallery [0.0138717202060636]","drawings [0.013528742452998]","cartoons [0.0116653592723155]",
"kline [0.0119404822045883]","the [0.0121860881347491]","matisse [0.0107646262802797]","portrait [0.009345868813501]","monet [0.0122972161248458]","painter [0.0114936286358439]","mexican [0.0127071956493182]","portrait [0.0130455706172043]","exhibition [0.0111132727634147]","portraits [0.0136552118410967]","gallery [0.0125428123477512]","gallery [0.0113751210936919]",
"drawings [0.0115232145828976]","portrait [0.0116191557035172]","european [0.0102067055269243]","colescott [0.00931874036670271]","matisse [0.0116745461428483]","photographs [0.0114172264672978]","bearden [0.0118506963643717]","black [0.0124057889921598]","color [0.0104399151107421]","artist [0.0135841747369392]","boilly [0.011988229666488]","images [0.0113523930495339]",
"mies [0.0111540242599377]","collection [0.0111214035751702]","van [0.00999712517640128]","exhibit [0.00875579702498454]","portraits [0.011256473335468]","catalogue [0.0109403796792779]","abstract [0.011120154930758]","london [0.0122873992002861]","howe [0.0102370484614531]","monet [0.0133170434441858]","images [0.0116749157280049]","paris [0.0112104331981398]",
"black [0.0106431821174153]","clarke [0.0111056102849016]","museums [0.00981257478623591]","19th [0.00859359653167327]","portrait [0.0110506222957449]","artists [0.0106248216756454]","objects [0.0107023055539707]","hubbard [0.012154229007239]","abstract [0.00997631687408097]","painted [0.0121931462232576]","century [0.0111073448894967]","museums [0.0108764048714216]",
"suggest [0.0100538972283273]","objects [0.0110734485754324]","19th [0.00942122634324694]","color [0.00840737408968097]","curator [0.0108924778758253]","degenerate [0.0105832286091081]","garza [0.0106878158791474]","artist [0.0118409372900763]","paint [0.00964007932005259]","scully [0.0118918302397762]","photography [0.0109226570179637]","painted [0.0106368688758538]",
"view [0.00964272545419816]","japan [0.0110314947254395]","landscape [0.00903666394249193]","portraits [0.00838153496516708]","artist [0.0106399068286858]","bierstadt [0.0101203359555277]","matisse [0.0105671078918395]","mexico [0.011597445119759]","portrait [0.00960731654098257]","modern [0.0100283855399136]","artist [0.0100648803238038]","pittman [0.0106232832572672]",
"world [0.00937171058276372]","images [0.0108641983200324]","retrospective [0.00878706285067267]","modern [0.00828632708404084]","photographs [0.0102143821814643]","islamic [0.0101203359555277]","sotheby [0.0104827984821071]","images [0.0112104388178102]","rome [0.00948766617662404]","world [0.00936154719574948]","vermeer [0.00968581446727664]","keeffe [0.0105694405808779]",
"de [0.00928865283530692]","puzzles [0.00949840316438591]","work [0.00848213539827769]","works [0.0080912388295498]","19th [0.0102047611074988]","jaar [0.0101203359555277]","de [0.0104051861144646]","mexican [0.0108737312028273]","paris [0.00906860089769632]","europe [0.00927162964261708]","stewart [0.00961887713646159]","ship [0.0105314858706479]",
"19th [0.00909373476423452]","zurbaran [0.00949840316438591]","painter [0.00843578376247507]","friedlander [0.00804866281605353]","artists [0.0100812587176371]","collection [0.0100431599966946]","painter [0.0101937536273564]","exhibition [0.0108085870189103]","male [0.00876801815346302]","abstract [0.00844697680073988]","modern [0.00948616777245748]","imperial [0.0104838940592367]",
"objects [0.00857588564826278]","chinese [0.009217312644828]","images [0.0083418477113905]","west [0.00769507141265493]","sabah [0.00952076994418615]","gallery [0.00975737487220349]","french [0.00955337212841486]","paint [0.0105941709739516]","nude [0.00858090473531392]","paris [0.00821027445077918]","photographer [0.00923179911700731]","19th [0.00896980994180644]",
"painter [0.00851428992005303]","work [0.00857779745270107]","france [0.00827195968443251]","paint [0.00762291045786199]","photography [0.00874587076641445]","boot [0.00959217261825481]","catalogue [0.00935200245829759]","barthe [0.0102252830531693]","19th [0.00847572987546378]","photography [0.00788147243579332]","portraits [0.00855526966197579]","france [0.00857202587956854]",
"griggs [0.0080350961943124]","19th [0.00799562564566414]","artist [0.00808413317493297]","abstract [0.00756962178059328]","plaster [0.00844746245810135]","view [0.00953232918415259]","paris [0.00892527616972512]","jimenez [0.0102252830531693]","nudity [0.00845028395207139]","objects [0.00785022434321553]","world [0.0081055291633152]","abstract [0.00829686316427401]",
"portrait [0.00791966444680782]","kafka [0.0077956446962334]","codman [0.00788506384850143]","painted [0.0074280501901589]","abstract [0.00825796109012826]","masks [0.00936933097063184]","barcelona [0.00876538466649967]","subject [0.00996061656685445]","view [0.00836430844034787]","paint [0.00781175939834265]","death [0.00807622445312051]","bamboo [0.00811559103328956]",
"retrospective [0.00790983567962008]","martha [0.00771613928655326]","gogh [0.00780867979805859]","collection [0.00732546115428512]","paint [0.00821611797519659]","museums [0.00904414885354546]","exhibit [0.00871337568538747]","france [0.00969907998214538]","painter [0.00824226490952575]","anguissola [0.00777591153481995]","collection [0.00791399377239527]","culture [0.00760629527659234]",
"miller [0.00788114028328423]","painters [0.00748411961024293]","catalogue [0.00765641777798631]","picture [0.00700460341298576]","painter [0.00811799914799266]","indian [0.00856642608615334]","spanish [0.00847037869047523]","photographs [0.00964832823486766]","panorama [0.00822129677998111]","lange [0.00749552531479054]","france [0.00791222184328523]","su [0.00756051663903092]",
"boucher [0.00787355322822598]","retrospective [0.00739129072483849]","world [0.00747503140569892]","prints [0.00691993559027673]","catalogue [0.00771594455791048]","nazi [0.00812542286274323]","france [0.00814290129579103]","picasso [0.00960903666051801]","works [0.0078661867759859]","nauman [0.00744006067848597]","catalogue [0.00788255479859973]","chang [0.00756051663903092]",
"pictures [0.00766929527329629]","curator [0.00734177599412582]","japanese [0.00744634314753307]","painter [0.00672866908052583]","picasso [0.00771093155464853]","france [0.00809944231940559]","artists [0.00778516665997606]","portuguese [0.00908206078019816]","ms [0.00760116944802969]","19th [0.007283415475866]","japanese [0.00760761876861557]","catalogue [0.00746026573010066]",
"drawing [0.00713748892845579]","color [0.0072252380021219]","courbet [0.00741483293100804]","view [0.00670555892419269]","paris [0.00735917082434977]","eakins [0.00807450772221492]","drawings [0.00764180462914127]","nazi [0.00900653361023313]","furniture [0.00759072519022107]","writes [0.00699534194440809]","elkins [0.00744598173757691]","collection [0.00703499740841484]",
"mud [0.00708597789664947]","camel [0.00695819180496359]","early [0.00734398553124961]","american [0.00669010972715739]","exhibit [0.00693518873014694]","nazis [0.00807450772221492]","sock [0.00762913598114693]","paris [0.00881211149330713]","exhibit [0.00723857302453016]","croce [0.00667017950352775]","caton [0.00743794369356559]","centuries [0.0070319356577716]",
"history [0.00695647782703947]","klee [0.00695819180496359]","gauguin [0.00683496300852145]","japanese [0.00633193668479627]","de [0.00688463571089008]","black [0.00799662064955724]","rodriguez [0.00723448135771128]","pictures [0.00879566489880019]","black [0.0072068699916947]","biography [0.00647362827549192]","exhibit [0.00733996171951489]","comic [0.00678143730673695]",
"france [0.00676335470905756]","expressionism [0.00695819180496359]","metropolitan [0.00681566079356177]","paris [0.00623152975370751]","blacks [0.00642301439121651]","nude [0.00795603376272202]","icons [0.00722522258528064]","gallery [0.00839408907857054]","castle [0.00707476373847363]","catalogue [0.00632375929114057]","japan [0.00731928901019956]","de [0.00660845415111135]",
"magic [0.00664671704272572]","museums [0.00684305485689897]","japan [0.00678370526325384]","artist [0.00617933561510522]","collection [0.00638631190734798]","spanish [0.00787257554231362]","figures [0.00713868971645577]","medel [0.00832790860832869]","painters [0.00707476373847363]","dutch [0.00611236038486658]","objects [0.00719068858396703]","photographs [0.00644397045339061]",
"dutch [0.0064138498689697]","rivera [0.00680694582699232]","great [0.00676763089606237]","chin [0.00605927996815285]","bacon [0.0059419293417447]","picasso [0.0075778862739231]","portrait [0.0069979185971649]","color [0.00830995474651498]","impressionism [0.00690456555549877]","picasso [0.00611236038486658]","la [0.00698737445847015]","drawings [0.00643497619667249]",
"kooning [0.0064138498689697]","figures [0.00662572964945346]","french [0.00651432621503947]","photograph [0.00597624346626382]","mapplethorpe [0.00587682844667807]","dr [0.00753465038777463]","19th [0.00694034051670954]","abstract [0.00827937303998335]","photographs [0.00681347010811519]","retrospective [0.00609889069847949]","blake [0.00692505257458387]","corcoran [0.00641326165960362]",
"europe [0.00638007056378361]","viola [0.00649857792622806]","black [0.00626017918339622]","picasso [0.00590465349237049]","van [0.00579333808373533]","abstract [0.00735811710810618]","photographs [0.00678977350074751]","exhibit [0.00822772147179965]","curator [0.0068034376978401]","photographer [0.00605131381783158]","color [0.00664133514352037]","modern [0.00638574515825096]",
"color [0.00626765151185661]","ancient [0.00649579918295355]","light [0.00621836366410244]","bayou [0.00580346183902054]","greek [0.00574867359612177]","19th [0.00718574144308883]","war [0.00659835730855996]","painter [0.00815638983926574]","mexican [0.00669946239352331]","france [0.00596759665222017]","abstract [0.00635784153804469]","world [0.00620001806139607]",
"mexico [0.00622131241010179]","photographs [0.0063971315284341]","exchange [0.00618786597970875]","canaletto [0.00557151395696419]","the [0.00558494214072582]","kelley [0.00714570900430543]","museums [0.00659792114256158]","dutch [0.00770453110889299]","brothers [0.00654903351175511]","beautiful [0.00585179012965312]","tour [0.00632291868274343]","o [0.00610548032740325]",
