
Topic: 0
1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,
"community [0.0113358594468572]","fiscal [0.0106027692471443]","national [0.0114908982134543]","awarded [0.0102331821375569]","receive [0.0104448865391715]","task [0.0103234070509031]","corporate [0.00871610507975216]","increase [0.00974630280652877]","orchestras [0.0100707976983187]","community [0.010717650997988]","members [0.0102376944108081]","raising [0.00978475277067518]",
"report [0.0110736732458725]","operating [0.010485302248925]","panel [0.0110595231522741]","study [0.0101442376053655]","institutions [0.010356936971629]","corporate [0.010146979766936]","income [0.00870299673914928]","community [0.009321221723761]","orchestra [0.0100580894142799]","projects [0.010362647188682]","chairman [0.00969927526963419]","artists [0.00970640288376435]",
"corporations [0.0110241779612276]","nasf [0.0100559665613452]","trustees [0.0108512552849343]","organization [0.0100669006885343]","organization [0.010146900093834]","national [0.00992238680449066]","grant [0.00836063140004301]","fiscal [0.00925880062366381]","19495 [0.00986606720198805]","cheney [0.010195970157243]","raising [0.00959103102555964]","local [0.00963198504700113]",
"raising [0.0107138437548097]","received [0.00962549291678521]","staff [0.0106460325676562]","hodsoll [0.00991092042942043]","directors [0.00945566901635225]","force [0.00952583371958555]","community [0.00810123549098292]","staff [0.00925773624254466]","staff [0.0097676912372328]","corporate [0.0101451308420558]","performing [0.0092767529513684]","orchestra [0.00961341536215721]",
"organization [0.0106424762551963]","humanities [0.0096160396253591]","vice [0.010332001742296]","community [0.00952353616883406]","donors [0.00936782936143331]","motel [0.00940965610298167]","motel [0.0078591612358085]","services [0.00912980916633249]","received [0.00973228317645523]","staff [0.00989866073766382]","increased [0.0091856600045472]","fiscal [0.00960265871263923]",
"opera [0.0104035761753634]","staff [0.00910290595290964]","stroum [0.0103134593882732]","received [0.00950210113155525]","committee [0.00918246994547545]","multicultural [0.00884663492843732]","state [0.00785626373112917]","sheldon [0.00904942303696619]","report [0.00966356882198237]","federal [0.00985996270467755]","corporate [0.00894238050737474]","projects [0.00954788026820505]",
"deficit [0.00997180154458261]","center [0.00892009290835146]","center [0.00958902948552543]","local [0.00941166322186908]","fiscal [0.00917912997327414]","staff [0.0083443818569293]","report [0.0078178055376722]","cach [0.00901014377171942]","committee [0.00961067359998372]","chairman [0.00981507533592272]","report [0.00884686851961478]","individuals [0.00949059987994783]",
"income [0.00996293750577488]","deficit [0.00879757340778619]","humanities [0.00940269169096795]","committee [0.00936618722780233]","education [0.00902941338425491]","agencies [0.00832273929686967]","members [0.00759505852420221]","ms [0.00886990848681669]","organization [0.00959360409974844]","local [0.00979654910417221]","center [0.00852197555988707]","government [0.00910622697433641]",
"center [0.00922211305159627]","orchestras [0.00877377684790806]","government [0.00921231573207069]","cach [0.00923578787949754]","corporations [0.00884070065130371]","management [0.00829870237275919]","fiscal [0.00743924768342079]","task [0.00869121257017112]","projects [0.00930120199763866]","donors [0.00966901639549228]","received [0.00849849136477385]","agency [0.0090573480272167]",
"commission [0.00902494084726264]","management [0.00867822799611056]","economic [0.00904173424617032]","foundation [0.00918377369146266]","contributions [0.00865584897953267]","levy [0.00819475904744036]","raising [0.00733304108048468]","companies [0.00847212055029729]","raising [0.00921346051770082]","income [0.00960932994245874]","projects [0.00843014593047725]","museums [0.00896190649892453]",
