"doc","topic","docprop","source","year"
1841,8,0.00756143667296786,"SETL",1992
1841,9,0.00189035916824197,"SETL",1992
1841,10,0.614366729678639,"SETL",1992
1841,11,0.10586011342155,"SETL",1992
1842,1,0.169014084507042,"SETL",1992
1842,3,0.0140845070422535,"SETL",1992
1842,4,0.633802816901408,"SETL",1992
1842,5,0.0422535211267606,"SETL",1992
1842,7,0.0140845070422535,"SETL",1992
1842,11,0.126760563380282,"SETL",1992
1843,3,0.0251572327044025,"SETL",1992
1843,10,0.972746331236897,"SETL",1992
1843,11,0.00209643605870021,"SETL",1992
1844,0,0.139204545454545,"SETL",1992
1844,1,0.298295454545455,"SETL",1992
1844,3,0.0880681818181818,"SETL",1992
1844,4,0.0909090909090909,"SETL",1992
1844,5,0.107954545454545,"SETL",1992
1844,7,0.00852272727272727,"SETL",1992
1844,11,0.267045454545455,"SETL",1992
1845,3,0.0384615384615385,"SETL",1992
1845,4,0.961538461538462,"SETL",1992
1846,0,0.340425531914894,"SETL",1992
1846,3,0.0851063829787234,"SETL",1992
1846,4,0.468085106382979,"SETL",1992
1846,10,0.106382978723404,"SETL",1992
1847,0,0.12140350877193,"SETL",1992
1847,2,0.0056140350877193,"SETL",1992
1847,4,0.47719298245614,"SETL",1992
1847,10,0.377543859649123,"SETL",1992
1847,11,0.0182456140350877,"SETL",1992
1848,0,0.165354330708661,"SETL",1992
1848,2,0.005249343832021,"SETL",1992
1848,5,0.031496062992126,"SETL",1992
1848,8,0.695538057742782,"SETL",1992
1848,10,0.010498687664042,"SETL",1992
1848,11,0.0918635170603675,"SETL",1992
1849,4,0.174603174603175,"SETL",1992
1849,7,0.333333333333333,"SETL",1992
1849,10,0.492063492063492,"SETL",1992
1850,3,0.0104712041884817,"SETL",1992
1850,6,0.0104712041884817,"SETL",1992
1850,10,0.973821989528796,"SETL",1992
1850,11,0.00523560209424084,"SETL",1992
1851,0,0.00205761316872428,"SETL",1992
1851,2,0.230452674897119,"SETL",1992
1851,4,0.0781893004115226,"SETL",1992
1851,5,0.654320987654321,"SETL",1992
1851,10,0.00205761316872428,"SETL",1992
1851,11,0.0329218106995885,"SETL",1992
1852,2,0.0792079207920792,"SETL",1992
1852,4,0.915841584158416,"SETL",1992
1852,11,0.00495049504950495,"SETL",1992
1853,0,0.12008281573499,"SETL",1992
1853,2,0.010351966873706,"SETL",1992
1853,4,0.790890269151139,"SETL",1992
1853,10,0.0703933747412008,"SETL",1992
1853,11,0.0082815734989648,"SETL",1992
1854,0,0.0170068027210884,"SETL",1992
1854,3,0.751700680272109,"SETL",1992
1854,4,0.170068027210884,"SETL",1992
1854,6,0.0340136054421769,"SETL",1992
1854,10,0.00340136054421769,"SETL",1992
1854,11,0.0238095238095238,"SETL",1992
1855,0,0.916216216216216,"SETL",1992
1855,1,0.00810810810810811,"SETL",1992
1855,2,0.00540540540540541,"SETL",1992
1855,3,0.0027027027027027,"SETL",1992
1855,6,0.0027027027027027,"SETL",1992
1855,8,0.0027027027027027,"SETL",1992
1855,10,0.0027027027027027,"SETL",1992
1855,11,0.0594594594594595,"SETL",1992
1856,1,0.011070110701107,"SETL",1992
1856,3,0.833948339483395,"SETL",1992
1856,6,0.0885608856088561,"SETL",1992
1856,7,0.03690036900369,"SETL",1992
1856,10,0.011070110701107,"SETL",1992
1856,11,0.018450184501845,"SETL",1992
1857,3,0.0747422680412371,"SETL",1992
1857,5,0.0154639175257732,"SETL",1992
1857,6,0.407216494845361,"SETL",1992
1857,7,0.198453608247423,"SETL",1992
1857,9,0.280927835051546,"SETL",1992
1857,11,0.0231958762886598,"SETL",1992
1858,2,0.00312989045383412,"SETL",1992
1858,3,0.702660406885759,"SETL",1992
1858,4,0.00156494522691706,"SETL",1992
1858,5,0.156494522691706,"SETL",1992
1858,6,0.00156494522691706,"SETL",1992
1858,7,0.0187793427230047,"SETL",1992
1858,8,0.00312989045383412,"SETL",1992
1858,9,0.0735524256651017,"SETL",1992
1858,11,0.0391236306729265,"SETL",1992
1859,3,0.0372340425531915,"SETL",1992
1859,4,0.138297872340426,"SETL",1992
1859,8,0.0159574468085106,"SETL",1992
1859,10,0.797872340425532,"SETL",1992
1859,11,0.0106382978723404,"SETL",1992
1860,2,0.00187265917602996,"SETL",1992
1860,3,0.664794007490637,"SETL",1992
1860,5,0.172284644194757,"SETL",1992
1860,6,0.00374531835205993,"SETL",1992
1860,7,0.0262172284644195,"SETL",1992
1860,8,0.00561797752808989,"SETL",1992
1860,9,0.0936329588014981,"SETL",1992
1860,11,0.0318352059925094,"SETL",1992
1861,3,0.214285714285714,"SETL",1992
1861,4,0.785714285714286,"SETL",1992
1862,3,0.0111731843575419,"SETL",1992
1862,7,0.169459962756052,"SETL",1992
1862,8,0.00186219739292365,"SETL",1992
1862,9,0.0204841713221601,"SETL",1992
1862,10,0.769087523277467,"SETL",1992
1862,11,0.0279329608938547,"SETL",1992
1863,0,0.123931623931624,"SETL",1992
1863,1,0.00641025641025641,"SETL",1992
1863,2,0.305555555555556,"SETL",1992
1863,4,0.365384615384615,"SETL",1992
1863,5,0.143162393162393,"SETL",1992
1863,11,0.0555555555555556,"SETL",1992
1864,1,0.0673316708229426,"SETL",1992
1864,3,0.0598503740648379,"SETL",1992
1864,4,0.356608478802993,"SETL",1992
1864,10,0.493765586034913,"SETL",1992
1864,11,0.0224438902743142,"SETL",1992
1865,2,0.00311526479750779,"SETL",1992
1865,6,0.00311526479750779,"SETL",1992
1865,7,0.00623052959501558,"SETL",1992
1865,10,0.956386292834891,"SETL",1992
1865,11,0.0311526479750779,"SETL",1992
1866,2,0.00411522633744856,"SETL",1992
1866,3,0.979423868312757,"SETL",1992
1866,11,0.0164609053497942,"SETL",1992
1867,2,0.467700258397933,"SETL",1992
1867,5,0.511627906976744,"SETL",1992
1867,7,0.00516795865633075,"SETL",1992
1867,8,0.00258397932816537,"SETL",1992
1867,9,0.00258397932816537,"SETL",1992
1867,11,0.0103359173126615,"SETL",1992
1868,2,0.0037593984962406,"SETL",1992
1868,10,0.992481203007519,"SETL",1992
1868,11,0.0037593984962406,"SETL",1992
1869,0,0.00288184438040346,"SETL",1992
1869,2,0.193083573487032,"SETL",1992
1869,4,0.763688760806916,"SETL",1992
1869,7,0.00288184438040346,"SETL",1992
1869,9,0.0144092219020173,"SETL",1992
1869,11,0.0230547550432277,"SETL",1992
1870,1,0.076271186440678,"SETL",1992
1870,5,0.436440677966102,"SETL",1992
1870,6,0.00423728813559322,"SETL",1992
1870,7,0.330508474576271,"SETL",1992
1870,10,0.00423728813559322,"SETL",1992
1870,11,0.148305084745763,"SETL",1992
1871,3,0.614147909967846,"SETL",1992
1871,5,0.270096463022508,"SETL",1992
1871,6,0.00321543408360129,"SETL",1992
1871,7,0.0353697749196141,"SETL",1992
1871,8,0.00321543408360129,"SETL",1992
1871,9,0.0321543408360129,"SETL",1992
1871,11,0.0418006430868167,"SETL",1992
1872,1,0.0510204081632653,"SETL",1992
1872,4,0.048469387755102,"SETL",1992
1872,5,0.244897959183673,"SETL",1992
1872,7,0.0153061224489796,"SETL",1992
1872,8,0.0892857142857143,"SETL",1992
1872,9,0.23469387755102,"SETL",1992
1872,10,0.188775510204082,"SETL",1992
1872,11,0.127551020408163,"SETL",1992
1873,0,0.486486486486487,"SETL",1992
1873,3,0.027027027027027,"SETL",1992
1873,4,0.351351351351351,"SETL",1992
1873,10,0.135135135135135,"SETL",1992
1874,0,0.19672131147541,"SETL",1992
1874,3,0.0163934426229508,"SETL",1992
1874,4,0.770491803278688,"SETL",1992
1874,10,0.0163934426229508,"SETL",1992
1875,2,0.0263157894736842,"SETL",1992
1875,3,0.812865497076023,"SETL",1992
1875,4,0.125730994152047,"SETL",1992
1875,10,0.0146198830409357,"SETL",1992
1875,11,0.0204678362573099,"SETL",1992
1876,0,0.478260869565217,"SETL",1992
1876,2,0.0217391304347826,"SETL",1992
1876,4,0.5,"SETL",1992
1877,0,0.317460317460317,"SETL",1992
1877,2,0.0158730158730159,"SETL",1992
1877,4,0.634920634920635,"SETL",1992
1877,11,0.0317460317460317,"SETL",1992
1878,7,0.233387358184765,"SETL",1992
1878,9,0.0486223662884927,"SETL",1992
1878,10,0.705024311183144,"SETL",1992
1878,11,0.0129659643435981,"SETL",1992
1879,7,0.233387358184765,"SETL",1992
1879,9,0.0486223662884927,"SETL",1992
1879,10,0.705024311183144,"SETL",1992
1879,11,0.0129659643435981,"SETL",1992
1880,0,0.00423728813559322,"SETL",1992
1880,2,0.0169491525423729,"SETL",1992
1880,3,0.0169491525423729,"SETL",1992
1880,4,0.883474576271186,"SETL",1992
1880,8,0.0402542372881356,"SETL",1992
1880,10,0.00423728813559322,"SETL",1992
1880,11,0.0338983050847458,"SETL",1992
1881,3,0.00555555555555556,"SETL",1992
1881,4,0.372222222222222,"SETL",1992
1881,10,0.622222222222222,"SETL",1992
1882,4,0.0127118644067797,"SETL",1992
1882,10,0.978813559322034,"SETL",1992
1882,11,0.00847457627118644,"SETL",1992
1883,3,0.774834437086093,"SETL",1992
1883,4,0.205298013245033,"SETL",1992
1883,7,0.0033112582781457,"SETL",1992
1883,10,0.0033112582781457,"SETL",1992
1883,11,0.0132450331125828,"SETL",1992
1884,1,0.0295081967213115,"SETL",1992
1884,7,0.149180327868852,"SETL",1992
1884,9,0.00491803278688525,"SETL",1992
